batch,p50,p75,p90,p99,end_time,batch_rps,average_rps
0,35.583,66.994,418.116,671.143,3.066794816,333.8990905611339,333.8990905611339
1,37.640,71.285,321.762,610.488,6.000216838,349.0803547257204,341.32099810623544
2,38.003,73.279,336.298,588.559,8.959626602,346.0149427282892,342.8714316413875
3,37.808,70.551,342.882,582.906,11.928409824,344.92245591113095,343.3818975400086
4,38.287,70.481,352.752,557.918,14.819419133,354.20155750179896,345.49262383697237
5,39.524,71.414,356.231,561.739,17.78938786,344.7847752371298,345.37444730265156
6,37.638,69.723,354.312,558.075,20.719020583,349.53186860617984,345.96229929330536
7,38.773,69.390,335.815,579.003,23.676129743,346.28413920303143,346.0024965618385
8,39.049,71.344,358.772,566.312,26.607340565,349.34368838789715,346.3705806104865
9,38.034,69.759,319.553,544.493,29.486926291,355.6067078518365,347.272547126265
10,38.517,73.151,376.510,565.310,32.454306076,345.0855886989199,347.07258795250414
11,40.126,69.407,329.194,597.116,35.412065684,346.2079870285392,347.0003729703915
12,36.986,72.264,370.471,578.301,38.375332313,345.56458402312705,346.8895042112882
13,39.256,67.835,362.061,589.512,41.278405236,352.72968580541624,347.30023890305705
14,38.288,71.522,308.457,598.349,44.258234257,343.64387781429014,347.05406254590065
15,39.292,77.149,338.988,592.012,47.253998881,341.8159062953135,346.72197883738716
16,39.264,72.162,354.147,566.145,50.23826815,343.13257541372326,346.5087599760343
17,40.673,71.678,353.242,555.892,53.19499383,346.3290513985053,346.4987712735674
18,38.547,70.128,358.958,572.758,56.088036996,353.9525479724559,346.88324002830643
19,37.823,66.198,310.183,566.732,58.936570232,359.4832551218298,347.4922262931454
20,37.558,69.285,354.790,547.290,61.787977547,359.12091359701145,348.02886991474423
21,38.337,69.120,327.286,543.613,64.631460958,360.1216719037849,348.5608969080794
22,36.836,65.949,336.092,538.714,67.416421725,367.68920127484137,349.3510838660578
23,37.070,68.357,339.815,565.238,70.272662998,358.5131304136861,349.7234764064576
24,37.817,68.501,345.975,537.813,73.108743442,361.0616906746664,350.1633155589587
25,38.024,65.169,324.476,539.529,75.944156236,361.14670927876284,350.5733860188621
26,37.336,67.010,351.292,512.998,78.731638799,367.3565580614543,351.16759185700033
27,37.877,65.263,357.746,545.592,81.572513542,360.4523580362585,351.4909465826057
28,39.176,68.537,355.710,527.928,84.420968673,359.49311219815627,351.76094833767934
29,37.795,67.226,329.397,561.649,87.259733651,360.7202455771595,352.0524154115149
30,38.769,67.342,336.555,538.731,90.073379709,363.9405877254814,352.42376940396065
31,37.790,70.671,362.448,553.425,92.940351644,357.1712675310847,352.5702175683066
32,40.421,71.305,343.824,581.736,95.95040444,340.1933684886772,352.18194438284957
33,37.437,69.207,322.119,521.754,98.779049756,362.0107456413237,352.46340277620675
34,35.987,67.154,369.838,548.671,101.608579441,361.8975992471346,352.72612014825813
35,37.678,62.626,329.085,551.666,104.383841984,368.97410033613573,353.15810665074514
36,37.707,65.302,340.257,552.196,107.20990463,362.3415784676138,353.40018378673193
37,37.286,66.010,339.704,559.408,110.038349358,362.03641876504685,353.62217106150206
38,38.692,65.859,357.037,539.290,112.869802191,361.6517951722489,353.82360228132313
39,38.357,69.555,362.492,535.689,115.719318283,359.3592620427284,353.9599144529122
40,38.540,65.992,353.091,573.449,118.619762947,353.04931437230243,353.93764881117403
41,38.044,70.174,328.113,542.445,121.446190939,362.2947419493281,354.1321441822911
42,37.186,67.863,328.280,568.468,124.291087062,359.9428435088773,354.26514515908576
43,38.891,68.083,361.796,528.347,127.122720219,361.6287644706374,354.4291683058702
44,37.512,65.369,335.184,525.975,129.913907658,366.8689482089636,354.696435745018
45,38.268,66.279,285.517,566.583,132.748843082,361.2075221647084,354.8354841096693
46,38.720,69.303,349.587,526.507,135.592359644,360.1174734427319,354.9462530658871
47,37.633,67.371,331.470,528.946,138.42627098,361.3380514033132,355.0771082109229
48,37.955,64.860,346.031,504.482,141.218470346,366.7359904414497,355.3076299230799
49,38.914,65.717,336.463,557.983,144.076643673,358.27078446456966,355.3664125894327
50,36.541,68.030,343.830,557.521,146.924136089,359.6146540184506,355.4487464766515
51,37.916,69.028,317.905,545.546,149.760192358,361.06476842261696,355.5550988657338
52,36.351,70.206,332.526,537.897,152.540430473,368.31377660614845,355.78764155648736
53,37.676,69.080,367.837,549.660,155.39545594,358.6658024021028,355.8405209824825
54,38.618,67.325,348.348,541.797,158.225815993,361.79142611719254,355.94697139998715
55,38.612,65.213,355.210,555.421,161.073175116,359.63148860587324,356.0121041799952
56,39.907,65.868,329.855,541.315,163.91436488,360.41239236282064,356.08837604154223
57,37.110,63.758,335.396,536.002,166.699972839,367.60377449797437,356.2808019012769
58,37.295,66.298,302.944,544.750,169.543205274,360.1534603343108,356.3457462206242
59,37.793,69.326,335.588,568.063,172.39629256,358.9094539885726,356.3881745230496
60,38.510,66.897,349.111,533.714,175.219545408,362.7021932255948,356.48991015558295
61,36.229,66.931,333.437,534.356,178.005565938,367.54933747742314,356.6630046956684
62,37.355,66.995,365.302,558.427,180.843211934,360.86249005106436,356.72889963679756
63,38.878,68.132,332.188,548.794,183.686364264,360.16360755457896,356.7820630703406
