Percentage served,Time in ms
0,3.344
1,5.286
2,5.899
3,6.352
4,7.071
5,7.777
6,8.112
7,8.596
8,9.116
9,9.399
10,10.496
11,11.826
12,12.719
13,13.224
14,13.788
15,14.200
16,14.468
17,14.987
18,15.280
19,15.618
20,16.150
21,16.466
22,17.177
23,17.798
24,18.250
25,18.859
26,19.633
27,20.568
28,21.524
29,21.863
30,22.400
31,22.793
32,23.521
33,24.283
34,25.013
35,25.630
36,26.670
37,27.488
38,28.116
39,29.034
40,30.143
41,30.473
42,31.388
43,32.014
44,32.967
45,33.735
46,34.484
47,35.279
48,35.835
49,36.804
50,38.003
51,39.101
52,39.917
53,41.423
54,42.897
55,43.975
56,44.701
57,45.929
58,47.529
59,48.303
60,49.522
61,50.494
62,51.494
63,52.128
64,53.257
65,54.830
66,56.092
67,57.188
68,59.205
69,60.553
70,61.767
71,63.464
72,65.867
73,68.539
74,70.875
75,73.279
76,74.632
77,76.678
78,78.966
79,82.281
80,84.882
81,87.827
82,90.619
83,97.184
84,100.836
85,106.877
86,116.304
87,122.119
88,134.099
89,162.991
90,336.298
91,413.106
92,443.974
93,455.699
94,473.952
95,487.544
96,501.210
97,516.047
98,536.217
99,588.559
100,713.601
