batch,p50,p75,p90,p99,end_time,batch_rps,average_rps
0,34.712,62.503,378.718,698.783,2.924425619,350.15422972192204,350.15422972192204
1,36.636,65.435,304.367,514.526,5.66831395,373.19302991707644,361.3067339010042
2,36.274,66.252,341.484,534.819,8.432067059,370.5106641636708,364.3234782770245
3,37.379,63.756,326.994,532.107,11.177703716,372.95539356575534,366.44377987375884
4,37.058,65.269,319.385,548.260,13.916411479,373.89896572181283,367.91093794015285
5,36.279,67.029,345.808,524.921,16.66256105,372.885734562198,368.73083204697394
6,35.982,62.295,335.518,521.421,19.357424398,379.9821615296245,370.29719722116516
7,35.304,65.945,358.373,544.141,22.110425688,371.9576898563676,370.50394757646154
8,37.502,63.152,329.644,538.563,24.849889044,373.7958376983668,370.86684707854664
9,37.240,63.946,330.456,521.418,27.590486852,373.64110742950714,371.14241785326504
10,35.639,66.069,341.260,555.309,30.333001892,373.37990314175306,371.34471688971735
11,35.976,65.600,314.838,518.749,33.040874744,378.15660334409216,371.90298668564816
12,36.753,65.776,332.988,513.708,35.781482095,373.63980638319447,372.03601473680095
13,37.490,63.340,315.206,535.955,38.520993181,373.78932512193524,372.16070553110904
14,37.360,66.084,317.945,523.210,41.269002502,372.6333794338687,372.192179814756
15,36.540,66.462,313.088,529.329,44.025166789,371.5308281258493,372.15077636216154
16,36.113,67.360,344.512,528.135,46.785301339,370.9964066787971,372.0826734418995
17,35.724,65.930,314.754,496.233,49.485574742,379.2208592146034,372.4721819661149
18,36.713,66.784,342.218,516.315,52.215741905,375.06860893997145,372.60793948686495
19,36.978,65.268,297.239,548.411,54.948865078,374.6629533992106,372.7101546306481
20,36.406,66.883,311.026,525.081,57.686105161,374.0994465044149,372.77607735836995
21,36.975,66.807,273.624,531.831,60.418572355,374.7528981312262,372.8654802968987
22,37.564,66.725,337.740,515.620,63.154303319,374.30581203890654,372.9278728804276
23,36.369,66.612,349.543,533.603,65.890414684,374.2537723788877,372.9829310964668
24,36.720,65.091,335.146,502.172,68.580586142,380.6448830444777,373.28348210663796
25,36.039,64.505,324.689,525.396,71.316709073,374.2521903523351,373.32064737798817
26,37.135,65.486,336.778,530.697,74.071026981,371.77988678277086,373.26335447045983
27,36.813,67.823,315.901,515.668,76.807484406,374.2064432082297,373.29695434941516
28,36.831,63.944,316.596,559.377,79.551081107,373.23269838703584,373.29473825827034
29,35.942,66.193,351.963,498.929,82.283106931,374.8134410020856,373.34516337309446
30,36.539,63.068,351.092,507.606,84.969060099,381.24268591119414,373.5948116057082
31,37.489,65.455,313.870,509.676,87.707061963,373.9953626269704,373.60731583761714
32,36.735,64.051,309.685,549.516,90.443731954,374.1773773847766,373.62456490834245
33,37.068,67.611,347.105,515.799,93.193321045,372.4192837947212,373.58900412174916
34,34.946,64.966,330.451,541.303,95.929618213,374.22835939579596,373.60724109650533
35,38.021,64.979,330.764,514.229,98.660580249,374.959441581925,373.64467051544267
36,35.262,63.868,342.264,510.000,101.343336878,381.69694147086994,373.85782989966725
37,35.713,65.551,339.602,513.092,104.070122648,375.5337185876553,373.90174057556766
38,36.340,66.618,321.514,524.370,106.812071577,373.4569922764593,373.8903235409159
39,36.652,62.788,353.712,529.595,109.554546422,373.3853755730615,373.87768319740576
40,35.629,68.164,320.965,525.551,112.292869242,373.9515270153584,373.879483919154
41,36.075,64.525,335.261,528.206,114.984552958,380.43102683762714,374.0328495751023
42,35.953,62.654,337.125,541.042,117.715451393,374.9681741642654,374.0545483107104
43,36.894,65.210,332.916,543.683,120.45117218,374.3072044727633,374.06028670828664
44,37.370,65.485,297.139,536.888,123.192937823,373.481957735657,374.04741549557326
45,37.500,63.479,321.162,526.946,125.93825831,372.9983456754788,374.0245468859224
46,35.165,64.427,356.434,535.455,128.687349729,372.4867033968929,373.9916946098567
47,36.088,63.845,326.904,513.390,131.374980044,381.00478115793146,374.1351662511237
48,37.329,63.363,360.980,530.415,134.125153388,372.34016620590296,374.0983606173395
49,35.790,65.631,313.092,534.398,136.854428159,375.1912452643257,374.12015591132274
50,35.695,65.029,354.822,533.679,139.60244769,372.63199495069614,374.0908620454003
51,36.540,66.489,327.462,526.956,142.345016765,373.372546687816,374.0770222248672
52,36.861,63.789,307.441,516.541,145.070548439,375.7065125195099,374.1076364843314
53,36.620,67.134,339.097,487.254,147.759859606,380.76664856239006,374.22883418708005
54,35.299,64.928,337.328,524.999,150.488235754,375.314818944826,374.2485232670622
55,35.559,63.098,323.338,552.756,153.221873478,374.59243081472715,374.25465893571396
56,37.382,65.786,331.614,527.937,155.968163862,372.86661525884466,374.230218236356
57,37.162,63.705,310.420,529.788,158.708663706,373.6544638898365,374.22027640545673
58,37.003,64.246,316.763,523.520,161.432052331,376.00215797332487,374.25033707756586
59,36.988,67.356,325.675,520.700,164.164090794,374.81170703415404,374.2596794636258
60,35.687,63.670,332.131,515.770,166.850634829,381.1588370260981,374.3707661886777
61,37.692,65.993,320.586,551.431,169.600460498,372.3872431419957,374.33860623714924
62,35.916,65.587,313.651,538.965,172.3442625,373.20477179241857,374.32055505764225
63,36.230,65.009,335.308,548.853,175.086420211,373.42855806297894,374.3065848340569
