Percentage served,Time in ms
0,3.429
1,4.447
2,5.110
3,5.408
4,5.692
5,5.921
6,6.217
7,6.566
8,6.882
9,7.255
10,7.868
11,9.132
12,10.235
13,11.954
14,12.404
15,12.847
16,12.985
17,13.218
18,13.577
19,13.814
20,14.134
21,14.628
22,15.053
23,15.564
24,16.045
25,17.167
26,18.337
27,18.944
28,19.538
29,20.481
30,20.705
31,21.461
32,21.731
33,22.123
34,22.552
35,23.096
36,24.025
37,24.683
38,25.604
39,26.250
40,27.343
41,27.889
42,28.571
43,28.954
44,29.577
45,30.181
46,30.559
47,30.872
48,31.910
49,32.807
50,34.387
51,35.034
52,35.634
53,36.462
54,36.895
55,37.425
56,38.313
57,39.422
58,40.418
59,41.786
60,42.270
61,43.429
62,44.212
63,45.073
64,45.853
65,47.194
66,48.678
67,50.052
68,51.414
69,52.620
70,54.457
71,56.404
72,57.831
73,59.085
74,60.263
75,61.837
76,63.268
77,65.211
78,67.581
79,69.193
80,72.724
81,74.746
82,78.110
83,81.772
84,86.007
85,90.103
86,99.848
87,107.114
88,125.956
89,143.133
90,340.698
91,369.218
92,380.617
93,393.207
94,405.967
95,414.130
96,423.428
97,436.701
98,460.224
99,484.874
100,536.533
