Percentage served,Time in ms
0,2.788
1,4.051
2,4.386
3,4.638
4,4.987
5,5.504
6,5.719
7,6.762
8,7.721
9,8.822
10,9.604
11,9.890
12,10.128
13,10.529
14,10.846
15,11.140
16,11.585
17,12.145
18,12.779
19,13.037
20,13.661
21,14.522
22,15.401
23,15.786
24,16.052
25,16.276
26,16.584
27,17.150
28,17.383
29,17.894
30,18.268
31,18.548
32,18.960
33,19.486
34,20.368
35,20.780
36,21.263
37,21.783
38,21.963
39,22.340
40,22.776
41,23.095
42,23.567
43,23.792
44,24.138
45,24.841
46,25.154
47,25.553
48,26.396
49,27.170
50,27.705
51,28.094
52,28.471
53,29.011
54,29.586
55,30.117
56,30.584
57,31.225
58,32.088
59,32.805
60,33.759
61,34.377
62,34.773
63,35.529
64,36.082
65,36.884
66,37.712
67,38.744
68,39.600
69,40.630
70,41.814
71,42.599
72,43.250
73,45.130
74,46.211
75,48.737
76,50.646
77,51.722
78,53.572
79,54.750
80,56.704
81,58.722
82,60.731
83,64.801
84,66.911
85,69.895
86,75.252
87,83.954
88,101.702
89,116.058
90,243.325
91,272.500
92,289.654
93,303.956
94,313.787
95,330.996
96,347.225
97,370.525
98,395.165
99,429.542
100,487.079
