Percentage served,Time in ms
0,3.002
1,4.340
2,4.817
3,5.196
4,5.680
5,5.937
6,6.577
7,6.941
8,7.240
9,8.022
10,8.437
11,10.046
12,11.104
13,11.947
14,12.382
15,12.951
16,13.211
17,13.443
18,13.706
19,14.376
20,14.652
21,15.227
22,15.860
23,16.483
24,16.919
25,18.628
26,19.579
27,20.050
28,20.348
29,20.783
30,21.117
31,21.320
32,21.629
33,21.945
34,22.689
35,23.030
36,23.704
37,24.447
38,25.765
39,27.405
40,28.053
41,28.798
42,29.289
43,29.582
44,30.051
45,30.575
46,31.517
47,32.173
48,33.885
49,34.338
50,34.660
51,35.258
52,36.059
53,36.529
54,37.316
55,38.126
56,38.963
57,41.000
58,41.927
59,42.769
60,43.718
61,44.343
62,44.891
63,45.743
64,46.854
65,48.424
66,50.055
67,50.898
68,51.846
69,52.902
70,54.821
71,55.955
72,57.251
73,58.419
74,60.011
75,61.771
76,63.041
77,65.429
78,67.836
79,69.908
80,71.847
81,75.961
82,77.172
83,80.554
84,84.440
85,87.857
86,91.870
87,99.306
88,110.008
89,148.631
90,303.177
91,360.464
92,379.383
93,397.456
94,414.500
95,434.237
96,444.405
97,448.691
98,461.736
99,485.551
100,605.658
