Percentage served,Time in ms
0,2.759
1,2.811
2,2.829
3,2.838
4,2.845
5,2.853
6,2.863
7,2.871
8,2.890
9,2.906
10,2.966
11,3.011
12,3.037
13,3.053
14,3.081
15,3.090
16,3.101
17,3.123
18,3.134
19,3.146
20,3.160
21,3.187
22,3.225
23,3.246
24,3.290
25,3.335
26,3.397
27,3.438
28,3.513
29,3.547
30,3.574
31,3.586
32,3.605
33,3.628
34,3.647
35,3.678
36,3.716
37,3.768
38,3.799
39,3.855
40,3.896
41,3.986
42,4.064
43,4.157
44,4.369
45,4.729
46,5.285
47,6.407
48,8.205
49,40.280
50,40.341
51,40.380
52,40.420
53,40.461
54,40.525
55,40.612
56,40.697
57,40.744
58,40.791
59,40.844
60,40.864
61,40.877
62,40.896
63,40.926
64,40.968
65,41.009
66,41.086
67,41.100
68,41.125
69,41.147
70,41.160
71,41.177
72,41.194
73,41.272
74,41.570
75,41.794
76,42.003
77,42.263
78,42.709
79,42.902
80,43.106
81,43.441
82,43.845
83,44.026
84,44.146
85,44.208
86,44.396
87,44.904
88,45.105
89,47.819
90,187.252
91,187.702
92,188.449
93,190.341
94,192.453
95,194.578
96,197.187
97,201.674
98,213.118
99,237.037
100,347.426
