Percentage served,Time in ms
0,3.295
1,4.065
2,4.391
3,4.937
4,5.105
5,5.542
6,6.153
7,7.555
8,8.158
9,9.356
10,9.738
11,10.068
12,10.663
13,11.275
14,11.964
15,12.938
16,13.176
17,13.816
18,14.439
19,14.914
20,15.178
21,15.666
22,16.163
23,16.627
24,16.996
25,17.758
26,18.431
27,18.797
28,19.502
29,19.987
30,20.448
31,21.123
32,21.534
33,21.878
34,22.363
35,23.025
36,23.522
37,24.220
38,24.691
39,25.025
40,25.459
41,25.655
42,26.380
43,26.992
44,27.512
45,27.880
46,28.353
47,28.903
48,29.618
49,30.218
50,30.894
51,31.247
52,31.679
53,32.142
54,32.486
55,33.030
56,33.312
57,33.797
58,34.457
59,34.644
60,35.216
61,35.924
62,36.560
63,37.444
64,38.071
65,38.678
66,39.572
67,40.237
68,41.488
69,42.332
70,42.924
71,44.089
72,44.960
73,45.845
74,47.156
75,48.973
76,50.399
77,51.901
78,52.970
79,54.888
80,56.665
81,60.715
82,63.623
83,67.418
84,71.247
85,76.598
86,81.770
87,86.182
88,91.601
89,106.405
90,261.679
91,286.682
92,304.136
93,317.820
94,332.999
95,362.252
96,377.017
97,397.034
98,425.053
99,547.416
100,673.867
