Percentage served,Time in ms
0,4.177
1,4.906
2,5.314
3,6.590
4,7.141
5,7.755
6,8.430
7,9.211
8,10.293
9,10.773
10,11.438
11,11.815
12,12.494
13,12.970
14,13.690
15,14.593
16,14.911
17,15.181
18,15.583
19,16.227
20,16.809
21,17.152
22,17.523
23,18.097
24,18.504
25,18.862
26,19.418
27,19.869
28,20.345
29,20.900
30,21.192
31,21.655
32,21.928
33,22.344
34,22.731
35,23.223
36,23.682
37,23.904
38,24.565
39,25.122
40,25.572
41,26.252
42,26.555
43,27.023
44,27.558
45,28.150
46,28.508
47,28.914
48,29.278
49,29.900
50,30.725
51,31.034
52,31.551
53,32.446
54,33.147
55,33.835
56,34.400
57,35.085
58,35.386
59,35.906
60,36.322
61,37.304
62,37.904
63,38.404
64,39.023
65,40.291
66,41.054
67,41.674
68,42.749
69,43.521
70,44.595
71,45.551
72,46.303
73,48.415
74,51.824
75,59.868
76,105.871
77,112.398
78,116.881
79,122.854
80,124.598
81,129.800
82,134.389
83,138.379
84,140.127
85,143.575
86,148.234
87,152.646
88,158.859
89,162.394
90,208.161
91,373.550
92,420.808
93,472.124
94,500.726
95,529.507
96,543.431
97,558.208
98,565.939
99,594.101
100,727.846
